Text,Folio
urn:cts:greekLit:tlg5026.msA.hmt:10.73,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.74,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.75,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.76,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.77,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.78,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.79,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.80,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.81,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAim.hmt:10.82,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAim.hmt:10.83,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAim.hmt:10.84,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAim.hmt:10.85,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.86,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.87,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.88,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.89,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.90,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.91,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.92,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.93,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.94,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msAil.hmt:10.95,urn:cite:hmt:msA.127r
urn:cts:greekLit:tlg5026.msA.hmt:10.96,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.97,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.98,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.99,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.100,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.101,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.102,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.103,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAim.hmt:10.104,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAim.hmt:10.105,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAint.hmt:10.106,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.107,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.108,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.109,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.110,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.111,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.112,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.113,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.114,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.115,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.116,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msAil.hmt:10.117,urn:cite:hmt:msA.127v
urn:cts:greekLit:tlg5026.msA.hmt:10.1000,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1001,urn:cite:hmt:msA.128r
urn:cts:greekLit:tlg5026.msA.hmt:10.1002,urn:cite:hmt:msA.128r
