URN,ImageReference
urn:cts:greekLit:tlg5026.msA.hmt:10.1,"urn:cite:hmt:vaimg.VA126RN-0298@0.1549,0.0848,0.6579,0.0369"
urn:cts:greekLit:tlg5026.msA.hmt:10.2,"urn:cite:hmt:vaimg.VA126RN-0298@0.1742,0.1067,0.6486,0.0691"
urn:cts:greekLit:tlg5026.msA.hmt:10.3,"urn:cite:hmt:vaimg.VA126RN-0298@0.6067,0.1633,0.2168,0.0575"
urn:cts:greekLit:tlg5026.msA.hmt:10.4,"urn:cite:hmt:vaimg.VA126RN-0298@0.6086,0.2179,0.2102,0.0872"
urn:cts:greekLit:tlg5026.msA.hmt:10.5,"urn:cite:hmt:vaimg.VA126RN-0298@0.6136,0.293,0.2102,0.0939"
urn:cts:greekLit:tlg5026.msA.hmt:10.6,"urn:cite:hmt:vaimg.VA126RN-0298@0.6188,0.3759,0.2078,0.0681"
urn:cts:greekLit:tlg5026.msA.hmt:10.7,"urn:cite:hmt:vaimg.VA126RN-0298@0.6146,0.438,0.1982,0.0654"
urn:cts:greekLit:tlg5026.msA.hmt:10.8,"urn:cite:hmt:vaimg.VA126RN-0298@0.5996,0.4921,0.2142,0.0654"
urn:cts:greekLit:tlg5026.msA.hmt:10.9,"urn:cite:hmt:vaimg.VA126RN-0298@0.5926,0.5537,0.2202,0.0841"
urn:cts:greekLit:tlg5026.msA.hmt:10.10,"urn:cite:hmt:vaimg.VA126RN-0298@0.5986,0.6289,0.2162,0.0631"
urn:cts:greekLit:tlg5026.msA.hmt:10.11,"urn:cite:hmt:vaimg.VA126RN-0298@0.1562,0.6773,0.6569,0.052"
urn:cts:greekLit:tlg5026.msA.hmt:10.12,"urn:cite:hmt:vaimg.VA126RN-0298@0.1261,0.7092,0.6827,0.0496"
urn:cts:greekLit:tlg5026.msA.hmt:10.13,"urn:cite:hmt:vaimg.VA126RN-0298@0.2551,0.7417,0.5405,0.0238"
urn:cts:greekLit:tlg5026.msA.hmt:10.14,"urn:cite:hmt:vaimg.VA126RN-0298@0.1443,0.753,0.668,0.0339"
urn:cts:greekLit:tlg5026.msA.hmt:10.15,"urn:cite:hmt:vaimg.VA126RN-0298@0.153,0.7704,0.6635,0.0276"
urn:cts:greekLit:tlg5026.msA.hmt:10.16,"urn:cite:hmt:vaimg.VA126RN-0298@0.1513,0.7832,0.6685,0.0336"
urn:cts:greekLit:tlg5026.msA.hmt:10.17,"urn:cite:hmt:vaimg.VA126RN-0298@0.1552,0.7964,0.6677,0.0503"
urn:cts:greekLit:tlg5026.msA.hmt:10.18,"urn:cite:hmt:vaimg.VA126RN-0298@0.1471,0.8279,0.6767,0.0526"
