URN, CtsUrn, VisualEvidence, FolioUrn,MarkerLocation
urn:cite:hmt:e3scholia.39,urn:cts:greekLit:tlg5026.e3hmt:10.39,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.483,0.7297,0.327,0.036",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.54,0.5255,0.008,0.012"
urn:cite:hmt:e3scholia.40,urn:cts:greekLit:tlg5026.e3hmt:10.40,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.48,0.7462,0.356,0.03",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.54,0.5601,0.007,0.0105"
urn:cite:hmt:e3scholia.41,urn:cts:greekLit:tlg5026.e3hmt:10.41,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.48,0.7643,0.346,0.0405",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.567,0.6126,0.008,0.012"
urn:cite:hmt:e3scholia.42,urn:cts:greekLit:tlg5026.e3hmt:10.42,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.479,0.7868,0.231,0.0285",urn:cite:hmt:e3.126r,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.623,0.6456,0.005,0.012"
urn:cite:hmt:e3scholia.43,urn:cts:greekLit:tlg5026.e3hmt:10.43,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.478,0.8003,0.322,0.0315",urn:cite:hmt.e3.126r,"urn:cite:hmt:e3bifolio.E3_125v_126r@0.6,0.6787,0.012,0.0105"
urn:cite:hmt:e3scholia.44,urn:cts:greekLit:tlg5026.e3hmt:10.44,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.109,0.2297,0.344,0.039",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.391,0.3303,0.01,0.0135"
urn:cite:hmt:e3scholia.45,urn:cts:greekLit:tlg5026.e3hmt:10.45,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.121,0.2477,0.333,0.1396",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.29,0.3964,0.01,0.0105"
urn:cite:hmt:e3scholia.46,urn:cts:greekLit:tlg5026.e3hmt:10.46,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.108,0.47,0.116,0.0676",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.401,0.4655,0.009,0.015"
urn:cite:hmt:e3scholia.47,urn:cts:greekLit:tlg5026.e3hmt:10.47,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.107,0.6111,0.113,0.0661",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.279,0.5631,0.013,0.015"
urn:cite:hmt:e3scholia.48,urn:cts:greekLit:tlg5026.e3hmt:10.48,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.109,0.7417,0.35,0.039",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.257,0.6682,0.01,0.012"
urn:cite:hmt:e3scholia.49,urn:cts:greekLit:tlg5026.e3hmt:10.49,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.106,0.7718,0.339,0.0225",urn:cite:hmt:e3.126v,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.297,0.7027,0.011,0.012"
urn:cite:hmt:e3scholia.50,urn:cts:greekLit:tlg5026.e3hmt:10.50,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.106,0.7853,0.3,0.021"urn:cite:hmt:e3.126v,""
urn:cite:hmt:e3scholia.51,urn:cts:greekLit:tlg5026.e3hmt:10.51,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.469,0.2372,0.221,0.039",urn:cite:hmt:e3.127r,"urn:cite:hmt:e3bifolio.E3_126v_127r@0.602,0.3348,0.007,0.0135"
